EaseOfUse	Gender	Age	DatePosted	Satisfaction	Reason	Supplement	NReviews	Effectiveness
5	Female	35-44	2/4/2015	5	Menopausal symptoms	5-HTP	378	5
5	Female	35-44	2/4/2015	5	Menopausal anxiety	5-HTP	378	5
5	Female	35-44	2/4/2015	5	Anxiety	5-HTP	378	5
5	Female	45-54	2/1/2015	5	Fibromyalgia	5-HTP	378	4
5	Female	35-44	2/1/2015	5	Depression	5-HTP	378	5
5	Female	35-44	1/29/2015	5	Migraine headache 	5-HTP	378	5
4	Female	55-64	1/16/2015	1	Anxiety	5-HTP	378	4
5	Female	25-34	1/15/2015	5	Depression	5-HTP	378	5
5	Male	35-44	1/15/2015	3	Other	5-HTP	378	3
5	Female	25-34	1/9/2015	3	Anxiety	5-HTP	378	5
5	Female	65-74	1/7/2015	5	Anxiety	5-HTP	378	4
5	Female	55-64	1/6/2015	5	Depression	5-HTP	378	5
5	Female	35-44	1/4/2015	5	Migraine headache 	5-HTP	378	4
5	Female	55-64	12/22/2014	5	Depression	5-HTP	378	5
5	Female	25-34	12/7/2014	5	Depression	5-HTP	378	4
5	Female	35-44	11/25/2014	5	Depression	5-HTP	378	4
5	Female	35-44	10/28/2014	5	Anxiety	5-HTP	378	4
5	Female	13-18	10/3/2014	1	Anxiety	5-HTP	378	3
2	Female	45-54	9/29/2014	1	General Health & Wellness	5-HTP	378	1
5	Female	45-54	9/25/2014	2	Insomnia	5-HTP	378	4
4	Female	55-64	9/21/2014	1	Weight loss	5-HTP	378	1
5	Female	65-74	9/19/2014	5	Headache	5-HTP	378	5
5	Male	55-64	9/12/2014	5	Dyssomnia	5-HTP	378	5
1	Female	35-44	9/8/2014	1	Anxiety	5-HTP	378	1
5	Female	65-74	9/7/2014	5	Insomnia	5-HTP	378	5
4	Male	45-54	8/23/2014	5	Insomnia	5-HTP	378	5
5	Male	25-34	8/6/2014	5	General Health & Wellness	5-HTP	378	5
4	Female	45-54	7/18/2014	4	General Health & Wellness	5-HTP	378	4
4	Female	35-44	6/29/2014	1	Other	5-HTP	378	3
5	Male	45-54	6/26/2014	5	Other	5-HTP	378	5
5	Female	35-44	6/10/2014	5	Weight loss	5-HTP	378	5
5	Female	55-64	5/26/2014	5	Menopausal anxiety	5-HTP	378	5
5	Female	65-74	4/19/2014	5	Other	5-HTP	378	5
5	Female	45-54	4/13/2014	4	Menopausal anxiety	5-HTP	378	5
5	Female	45-54	3/26/2014	3	Other	5-HTP	378	3
4	Female	19-24	1/26/2014	5	Other	5-HTP	378	5
3	Female	35-44	1/24/2014	3	Menopausal anxiety	5-HTP	378	3
5	Female	45-54	1/17/2014	4	Depression	5-HTP	378	4
5	Male	19-24	12/24/2013	4	Other	5-HTP	378	3
4	Female	55-64	12/15/2013	5	Headache	5-HTP	378	3
5	Female	35-44	12/4/2013	3	General Health & Wellness	5-HTP	378	4
5	Female	65-74	11/26/2013	5	Anxiety	5-HTP	378	4
5	Female	55-64	11/20/2013	4	Menopausal anxiety	5-HTP	378	4
5	Female	45-54	11/13/2013	5	Headache	5-HTP	378	5
5	Female	65-74	11/11/2013	1	Other	5-HTP	378	1
5	Female	35-44	11/9/2013	5	Anxiety	5-HTP	378	5
5	Female	25-34	10/17/2013	5	Anxiety	5-HTP	378	5
5	Female	35-44	10/3/2013	5	Anxiety	5-HTP	378	5
5	Female	45-54	9/16/2013	4	General Health & Wellness	5-HTP	378	4
5	Female	55-64	9/14/2013	5	Weight loss	5-HTP	378	5
4	Female	35-44	9/12/2013	5	Other	5-HTP	378	4
5	Female	25-34	9/10/2013	4	Depression	5-HTP	378	5
1	Female	35-44	9/8/2013	1	Other	5-HTP	378	1
5	Female	25-34	9/3/2013	5	Depression	5-HTP	378	5
5	Female	45-54	8/24/2013	5	Depression	5-HTP	378	5
4	Female	35-44	8/23/2013	5	Anxiety	5-HTP	378	5
1	Female	35-44	8/22/2013	1	Anxiety	5-HTP	378	1
5	Male	25-34	8/20/2013	5	Other	5-HTP	378	4
5	Male	55-64	8/14/2013	4	Depression	5-HTP	378	4
5	Male	19-24	8/13/2013	5	Anxiety	5-HTP	378	5
5	Male	45-54	8/7/2013	1	General Health & Wellness	5-HTP	378	5
5	Female	45-54	7/31/2013	5	General Health & Wellness	5-HTP	378	5
4	Female	13-18	7/30/2013	2	Depression	5-HTP	378	2
5	Female	65-74	7/29/2013	1	Weight loss	5-HTP	378	1
5	Male	35-44	7/24/2013	5	Anxiety	5-HTP	378	5
5	Male	65-74	7/18/2013	5	Anxiety	5-HTP	378	5
5	Female	25-34	7/17/2013	5	Depression	5-HTP	378	5
5	Female	19-24	7/9/2013	5	Depression	5-HTP	378	5
5	Male	65-74	7/8/2013	5	Depression	5-HTP	378	5
4	Male	45-54	7/8/2013	5	Anxiety	5-HTP	378	5
5	Female	55-64	6/28/2013	5	Depression	5-HTP	378	5
5	Male	55-64	6/7/2013	1	General Health & Wellness	5-HTP	378	1
3	Female	65-74	5/25/2013	1	Other	5-HTP	378	1
5	Female	35-44	5/24/2013	5	Depression	5-HTP	378	5
5	Female	45-54	5/21/2013	3	Anxiety	5-HTP	378	4
4	Male	45-54	5/20/2013	2	General Health & Wellness	5-HTP	378	2
4	Male	55-64	5/20/2013	4	Other	5-HTP	378	4
5	Female	65-74	5/5/2013	5	Headache	5-HTP	378	5
5	Female	19-24	5/3/2013	5	Anxiety	5-HTP	378	4
5	Female	55-64	4/24/2013	5	Headache	5-HTP	378	5
3	Female	45-54	4/24/2013	5	Menopausal anxiety	5-HTP	378	5
5	Female	35-44	4/22/2013	5	Anxiety	5-HTP	378	5
2	Female	55-64	4/22/2013	2	Other	5-HTP	378	2
4	Female	25-34	4/9/2013	5	Depression	5-HTP	378	5
5	Female	35-44	3/26/2013	5	General Health & Wellness	5-HTP	378	5
5	Female	25-34	3/19/2013	2	General Health & Wellness	5-HTP	378	2
5	Male	25-34	3/15/2013	5	General Health & Wellness	5-HTP	378	5
5	Female	55-64	3/8/2013	1	Other	5-HTP	378	4
5	Female	55-64	3/7/2013	5	Depression	5-HTP	378	5
4	Female	65-74	2/28/2013	4	Weight loss	5-HTP	378	3
1	Female	35-44	2/25/2013	3	Anxiety	5-HTP	378	3
4	Female	65-74	2/24/2013	4	Weight loss	5-HTP	378	4
5	Female	55-64	2/18/2013	3	Other	5-HTP	378	4
4	Female	45-54	2/17/2013	4	Menopausal anxiety	5-HTP	378	4
5	Female	55-64	2/13/2013	5	Anxiety	5-HTP	378	5
4	Male	25-34	2/12/2013	5	Anxiety	5-HTP	378	5
1	Female	35-44	2/9/2013	1	General Health & Wellness	5-HTP	378	1
5	Female	55-64	2/6/2013	5	Anxiety	5-HTP	378	5
5	Female	55-64	2/6/2013	1	Other	5-HTP	378	1
5	Female	13-18	2/4/2013	5	Other	5-HTP	378	5
5	Female	65-74	2/1/2013	5	Other	5-HTP	378	5
3	Male	45-54	1/31/2013	2	Anxiety	5-HTP	378	5
1	Female	55-64	1/31/2013	1	Other	5-HTP	378	1
5	Female	25-34	1/16/2013	4	Headache	5-HTP	378	5
5	Female	19-24	1/15/2013	4	General Health & Wellness	5-HTP	378	5
5	Female	45-54	12/27/2012	5	Depression	5-HTP	378	5
5	Female	25-34	12/24/2012	1	Anxiety	5-HTP	378	1
4	Male	7-12	11/16/2012	1	Ataxia	5-HTP	378	1
4	Male	35-44	10/17/2012	4	Other	5-HTP	378	4
5	Female	35-44	10/16/2012	1	Overweight	5-HTP	378	1
5	Female	35-44	10/6/2012	5	General Health & Wellness	5-HTP	378	5
5	Female	65-74	9/30/2012	5	Menopausal anxiety	5-HTP	378	5
5	Female	35-44	9/28/2012	5	Menopausal anxiety	5-HTP	378	5
4	Male	19-24	9/28/2012	2	General Health & Wellness	5-HTP	378	4
3	Female	35-44	9/15/2012	3	Headache	5-HTP	378	2
5	Female	35-44	9/4/2012	5	Anxiety	5-HTP	378	5
1	Female	45-54	9/3/2012	1	Anxiety	5-HTP	378	2
5	Female	45-54	8/27/2012	1	Other	5-HTP	378	1
5	Female	55-64	8/24/2012	5	Other	5-HTP	378	5
1	Female	55-64	8/20/2012	1	Anxiety	5-HTP	378	1
4	Male	55-64	8/14/2012	3	Anxiety	5-HTP	378	4
5	Female	45-54	8/13/2012	5	Fibromyalgia	5-HTP	378	5
5	Female	55-64	7/24/2012	2	Other	5-HTP	378	4
2	Female	45-54	7/19/2012	1	Other	5-HTP	378	2
5	Female	65-74	7/10/2012	5	Obesity	5-HTP	378	3
5	Female	65-74	6/23/2012	4	Other	5-HTP	378	4
3	Male	19-24	5/19/2012	3	Anxiety	5-HTP	378	4
5	Female	45-54	4/25/2012	5	Headache	5-HTP	378	5
5	Female	55-64	3/19/2012	5	General Health & Wellness	5-HTP	378	5
5	Female	25-34	3/6/2012	1	Anxiety	5-HTP	378	1
5	Female	55-64	2/27/2012	5	Other	5-HTP	378	5
5	Female	55-64	2/20/2012	4	General Health & Wellness	5-HTP	378	3
5	Female	45-54	2/15/2012	5	Other	5-HTP	378	5
5	Male	45-54	2/13/2012	5	Anxiety	5-HTP	378	5
5	Female	55-64	12/20/2011	4	Menopausal anxiety	5-HTP	378	4
5	Female	35-44	2/11/2012	5	Other	5-HTP	378	5
1	Female	55-64	1/17/2012	1	Other	5-HTP	378	3
5	Female	35-44	1/14/2012	5	Anxiety	5-HTP	378	5
5	Female	55-64	1/12/2012	4	Fibromyalgia	5-HTP	378	4
5	Female	45-54	12/2/2011	5	General Health & Wellness	5-HTP	378	5
4	Male	65-74	11/30/2011	4	Headache	5-HTP	378	4
2	Female	35-44	11/11/2011	3	Depression	5-HTP	378	5
5	Female	25-34	10/29/2011	3	General Health & Wellness	5-HTP	378	3
5	Female	55-64	10/28/2011	3	Depression	5-HTP	378	4
5	Female	45-54	10/7/2011	4	Menopausal anxiety	5-HTP	378	5
5	Female	35-44	9/30/2011	5	Other	5-HTP	378	5
5	Male	25-34	9/20/2011	5	General Health & Wellness	5-HTP	378	5
3	Male	35-44	9/16/2011	1	Other	5-HTP	378	1
5	Female	35-44	9/14/2011	5	Anxiety	5-HTP	378	5
5	Female	25-34	9/7/2011	5	Anxiety	5-HTP	378	5
5	Female	19-24	9/3/2011	4	Anxiety	5-HTP	378	3
5	Female	35-44	8/31/2011	2	Depression	5-HTP	378	2
5	Female	19-24	8/29/2011	1	Depression	5-HTP	378	1
5	Female	25-34	8/14/2011	5	Anxiety	5-HTP	378	5
5	Male	55-64	8/11/2011	5	Depression	5-HTP	378	5
5	Female	55-64	7/23/2011	5	Fibromyalgia	5-HTP	378	5
5	Female	19-24	7/22/2011	5	Headache	5-HTP	378	5
5	Male	25-34	7/15/2011	5	Depression	5-HTP	378	5
5	Male	19-24	7/11/2011	4	Anxiety	5-HTP	378	4
5	Male	65-74	6/28/2011	5	Palatal myoclonus	5-HTP	378	5
5	Female	45-54	6/14/2011	5	Depression	5-HTP	378	5
4	Male	55-64	6/11/2011	4	Depression	5-HTP	378	4
5	Male	25-34	6/6/2011	5	Depression	5-HTP	378	5
5	Female	55-64	5/30/2011	5	Other	5-HTP	378	5
5	Female	45-54	5/29/2011	2	Weight loss	5-HTP	378	5
5	Male	35-44	5/29/2011	5	Depression	5-HTP	378	5
3	Female	19-24	5/23/2011	5	Depression	5-HTP	378	5
5	Female	25-34	5/20/2011	5	Depression	5-HTP	378	5
5	Female	65-74	5/1/2011	5	Depression	5-HTP	378	4
4	Female	45-54	4/12/2011	4	Weight loss	5-HTP	378	4
5	Female	65-74	4/8/2011	5	Menopausal anxiety	5-HTP	378	5
5	Female	35-44	3/26/2011	5	Overweight	5-HTP	378	5
5	Male	45-54	3/12/2011	1	Anxiety	5-HTP	378	1
5	Female	45-54	2/24/2011	5	Fibromyalgia	5-HTP	378	5
5	Female	35-44	1/30/2011	5	Depression	5-HTP	378	4
5	Female	35-44	1/26/2011	5	Headache	5-HTP	378	5
3	Female	35-44	1/16/2011	4	Depression	5-HTP	378	4
3	Female	19-24	12/21/2010	5	Depression	5-HTP	378	4
3	Female	45-54	12/15/2010	1	Other	5-HTP	378	2
5	Female	25-34	12/13/2010	5	Depression	5-HTP	378	4
5	Male	19-24	12/6/2010	5	Anxiety	5-HTP	378	5
4	Female	35-44	12/4/2010	5	Fibromyalgia	5-HTP	378	5
4	Female	25-34	10/18/2010	4	Fibromyalgia	5-HTP	378	4
5	Female	35-44	10/16/2010	5	Depression	5-HTP	378	4
5	Male	45-54	10/10/2010	5	Depression	5-HTP	378	5
5	Female	45-54	10/5/2010	4	Fibromyalgia	5-HTP	378	4
5	Female	45-54	10/4/2010	5	Other	5-HTP	378	5
1	Female	55-64	9/25/2010	1	Other	5-HTP	378	1
5	Female	25-34	9/23/2010	3	Depression	5-HTP	378	5
5	Female	35-44	9/13/2010	5	Depression	5-HTP	378	5
5	Female	55-64	9/10/2010	5	General Health & Wellness	5-HTP	378	5
5	Female	45-54	8/19/2010	5	Depression	5-HTP	378	5
3	Male	55-64	8/18/2010	1	Anxiety	5-HTP	378	1
3	Female	25-34	8/6/2010	2	Anxiety	5-HTP	378	2
5	Female	25-34	7/29/2010	4	Depression	5-HTP	378	5
5	Female	25-34	7/23/2010	5	Weight loss	5-HTP	378	4
5	Female	45-54	7/17/2010	5	Anxiety	5-HTP	378	5
5	Female	35-44	7/15/2010	5	Anxiety	5-HTP	378	5
5	Female	25-34	7/6/2010	5	Other	5-HTP	378	5
5	Female	55-64	6/22/2010	4	Fibromyalgia	5-HTP	378	4
5	Female	25-34	7/14/2010	4	Depression	5-HTP	378	4
5	Female	45-54	6/7/2010	5	Anxiety	5-HTP	378	5
3	Female	25-34	5/20/2010	4	Anxiety	5-HTP	378	4
4	Female	25-34	5/4/2010	4	Depression	5-HTP	378	4
5	Female	55-64	4/24/2010	5	Weight loss	5-HTP	378	5
4	Female	55-64	4/24/2010	4	Obesity	5-HTP	378	4
4	Male	45-54	4/21/2010	4	Depression	5-HTP	378	4
4	Female	45-54	4/14/2010	4	Other	5-HTP	378	4
5	Female	55-64	4/11/2010	5	Depression	5-HTP	378	4
4	Female	25-34	4/8/2010	4	Depression	5-HTP	378	4
5	Female	45-54	4/8/2010	5	Anxiety	5-HTP	378	5
4	Female	19-24	4/6/2010	4	Anxiety	5-HTP	378	5
5	Female	45-54	3/16/2010	5	Fibromyalgia	5-HTP	378	4
5	Female	35-44	3/12/2010	5	Other	5-HTP	378	5
5	Female	55-64	3/9/2010	5	Overweight	5-HTP	378	5
5	Male	35-44	2/23/2010	4	Overweight	5-HTP	378	4
5	Female	45-54	2/16/2010	5	Fibromyalgia	5-HTP	378	5
5	Female	35-44	2/11/2010	5	Anxiety	5-HTP	378	5
5	Female	35-44	1/21/2010	5	Weight loss	5-HTP	378	5
4	Female	25-34	1/11/2010	2	Other	5-HTP	378	3
5	Female	25-34	1/8/2010	5	Anxiety	5-HTP	378	5
3	Male	45-54	12/16/2009	3	Other	5-HTP	378	4
5	Female	35-44	11/26/2009	5	Other	5-HTP	378	5
5	Female	19-24	11/5/2009	5	Headache	5-HTP	378	4
5	Male	55-64	10/22/2009	4	Depression	5-HTP	378	5
5	Female	25-34	10/7/2009	5	Anxiety	5-HTP	378	5
4	Female	55-64	10/5/2009	1	Other	5-HTP	378	1
5	Female	55-64	8/28/2009	1	Depression	5-HTP	378	1
5	Male	45-54	8/23/2009	3	Anxiety	5-HTP	378	3
5	Male	45-54	8/23/2009	3	Anxiety	5-HTP	378	3
5	Female	45-54	7/31/2009	5	Fibromyalgia	5-HTP	378	5
5	Male	25-34	7/30/2009	5	Anxiety	5-HTP	378	5
5	Female	35-44	7/5/2009	5	Depression	5-HTP	378	5
3	Female	65-74	6/24/2009	1	Other	5-HTP	378	1
5	Female	25-34	5/4/2009	5	Other	5-HTP	378	5
5	Female	25-34	5/3/2009	5	Other	5-HTP	378	5
5	Female	55-64	3/15/2009	5	Other	5-HTP	378	5
5	Female	35-44	12/8/2008	5	Other	5-HTP	378	5
5	Female	45-54	9/28/2008	5	Other	5-HTP	378	5
5	Female	35-44	8/18/2008	5	Other	5-HTP	378	4
5	Female	35-44	11/29/2007	5	Other	5-HTP	378	4
5	Female	25-34	9/25/2007	5	Other	5-HTP	378	4
2	Female	65-74	3/21/2018	2	Gas	ACTIVATED CHARCOAL	59	2
5	Female	55-64	7/15/2017	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	55-64	6/5/2017	5	General Health & Wellness	ACTIVATED CHARCOAL	59	5
3	Female	55-64	2/23/2017	1	Gas	ACTIVATED CHARCOAL	59	1
4	Male	55-64	2/23/2017	1	Other	ACTIVATED CHARCOAL	59	2
3	Female	65-74	9/2/2016	1	Gas	ACTIVATED CHARCOAL	59	1
5	Female	35-44	4/26/2016	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	45-54	3/31/2016	1	Other	ACTIVATED CHARCOAL	59	2
5	Male	19-24	2/28/2016	4	Gas	ACTIVATED CHARCOAL	59	4
2	Male	35-44	10/31/2015	2	General Health & Wellness	ACTIVATED CHARCOAL	59	2
5	Male	65-74	9/20/2015	3	Cholesterol	ACTIVATED CHARCOAL	59	3
5	Male	45-54	9/4/2015	4	Gas	ACTIVATED CHARCOAL	59	4
5	Male	45-54	9/4/2015	4	Gas	ACTIVATED CHARCOAL	59	4
5	Male	45-54	9/4/2015	4	Gas	ACTIVATED CHARCOAL	59	4
5	Male	55-64	7/27/2015	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	55-64	7/18/2015	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	35-44	6/26/2015	5	Poisoning	ACTIVATED CHARCOAL	59	5
3	Male	45-54	4/27/2015	3	Other	ACTIVATED CHARCOAL	59	3
3	Male	45-54	4/27/2015	3	Other	ACTIVATED CHARCOAL	59	3
5	Female	55-64	12/16/2014	5	Poisoning	ACTIVATED CHARCOAL	59	5
5	Female	45-54	12/10/2014	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	25-34	11/30/2014	5	Flatulence	ACTIVATED CHARCOAL	59	5
5	Female	65-74	9/15/2014	5	Other	ACTIVATED CHARCOAL	59	5
5	Male	25-34	8/28/2014	4	Gas	ACTIVATED CHARCOAL	59	4
5	Female	25-34	8/22/2014	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	45-54	7/19/2014	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	55-64	4/4/2014	5	Other	ACTIVATED CHARCOAL	59	5
5	Female	55-64	4/1/2014	5	Flatulence	ACTIVATED CHARCOAL	59	5
5	Male	45-54	1/25/2014	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	45-54	1/21/2014	5	Gas	ACTIVATED CHARCOAL	59	5
5	Female	65-74	1/3/2014	5	Gas	ACTIVATED CHARCOAL	59	4
5	Female	25-34	11/19/2013	5	Other	ACTIVATED CHARCOAL	59	5
5	Female	19-24	11/1/2013	5	Other	ACTIVATED CHARCOAL	59	5
5	Female	35-44	9/1/2013	5	Other	ACTIVATED CHARCOAL	59	5
5	Female	65-74	9/1/2013	5	Gas	ACTIVATED CHARCOAL	59	5
5	Male	55-64	6/24/2013	4	Flatulence	ACTIVATED CHARCOAL	59	4
5	Male	19-24	6/3/2013	5	Other	ACTIVATED CHARCOAL	59	5
3	Female	35-44	4/3/2013	3	General Health & Wellness	ACTIVATED CHARCOAL	59	3
5	Female	55-64	2/13/2013	5	Other	ACTIVATED CHARCOAL	59	5
5	Male	45-54	12/11/2012	5	Gas	ACTIVATED CHARCOAL	59	4
3	Male	7-12	7/16/2012	4	Poisoning	ACTIVATED CHARCOAL	59	3
4	Male	35-44	2/21/2012	4	Other	ACTIVATED CHARCOAL	59	4
4	Female	55-64	1/29/2012	4	Gas	ACTIVATED CHARCOAL	59	4
5	Female	45-54	12/17/2011	5	Poisoning	ACTIVATED CHARCOAL	59	5
5	Male	55-64	10/22/2011	5	Gas	ACTIVATED CHARCOAL	59	5
5	Male	55-64	5/19/2011	3	Flatulence	ACTIVATED CHARCOAL	59	3
5	Female	45-54	5/11/2011	5	Other	ACTIVATED CHARCOAL	59	5
5	Female	25-34	2/11/2011	5	Gas	ACTIVATED CHARCOAL	59	4
4	Female	35-44	1/17/2010	5	Other	ACTIVATED CHARCOAL	59	5
5	Male	0-2	1/2/2010	4	Poisoning	ACTIVATED CHARCOAL	59	5
5	Male	25-34	12/5/2018	5	Anxiety	ASHWAGANDHA	137	5
5	Male	35-44	11/29/2018	5	Stress	ASHWAGANDHA	137	5
5	Female	65-74	11/25/2018	1	Anxiety	ASHWAGANDHA	137	3
5	Female	45-54	11/23/2018	1	Fatigue	ASHWAGANDHA	137	2
4	Female	55-64	9/18/2018	1	Anxiety	ASHWAGANDHA	137	1
4	Female	35-44	8/26/2018	1	Other	ASHWAGANDHA	137	1
5	Male	45-54	7/19/2018	5	Stress	ASHWAGANDHA	137	5
5	Female	45-54	5/22/2018	2	Other	ASHWAGANDHA	137	4
2	Female	25-34	3/27/2018	2	Anxiety	ASHWAGANDHA	137	2
5	Male	45-54	1/17/2018	5	General Health & Wellness	ASHWAGANDHA	137	5
5	Female	45-54	1/16/2018	5	Menopausal anxiety	ASHWAGANDHA	137	4
5	Female	45-54	11/21/2017	5	Anxiety	ASHWAGANDHA	137	4
4	Female	65-74	11/20/2017	2	Anxiety	ASHWAGANDHA	137	2
5	Female	25-34	11/18/2017	5	Anxiety	ASHWAGANDHA	137	5
5	Male	45-54	10/22/2017	5	Anxiety	ASHWAGANDHA	137	5
5	Male	45-54	8/17/2017	5	Anxiety	ASHWAGANDHA	137	5
5	Female	45-54	8/9/2017	5	Anxiety	ASHWAGANDHA	137	5
1	Male	55-64	6/27/2017	1	General Health & Wellness	ASHWAGANDHA	137	1
5	Male	35-44	3/1/2017	5	General Health & Wellness	ASHWAGANDHA	137	5
3	Male	45-54	2/24/2017	4	Anxiety	ASHWAGANDHA	137	4
5	Male	45-54	2/9/2017	1	Other	ASHWAGANDHA	137	1
3	Female	45-54	12/20/2016	3	Arthritis	ASHWAGANDHA	137	3
5	Female	45-54	12/12/2016	5	General Health & Wellness	ASHWAGANDHA	137	5
5	Male	25-34	10/29/2016	5	Anxiety	ASHWAGANDHA	137	5
5	Female	25-34	10/21/2016	5	Other	ASHWAGANDHA	137	4
5	Male	25-34	10/13/2016	5	Diabetes	ASHWAGANDHA	137	5
5	Female	55-64	9/16/2016	1	General Health & Wellness	ASHWAGANDHA	137	1
1	Male	65-74	7/16/2016	1	General Health & Wellness	ASHWAGANDHA	137	1
5	Female	55-64	7/5/2016	5	Anxiety	ASHWAGANDHA	137	5
5	Male	55-64	2/18/2016	4	Anxiety	ASHWAGANDHA	137	4
5	Male	45-54	12/13/2015	5	Arthritis	ASHWAGANDHA	137	5
